Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
ESB,Cropland Nutrient Balance,IND,India,7290,Cropland nitrogen use efficiency,5082,Leaching,2020,2020,,,,,
ESB,Cropland Nutrient Balance,IND,India,7291,Cropland phosphorus use efficiency,5082,Leaching,2020,2020,,,,,
ESB,Cropland Nutrient Balance,IND,India,7292,Cropland potassium use efficiency,5082,Leaching,2020,2020,,,,,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5082,Leaching,2021,2021,t,2181887.9969,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5082,Leaching,2021,2021,kg/ha,12.9766,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5082,Leaching,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5082,Leaching,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5082,Leaching,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5082,Leaching,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7290,Cropland nitrogen use efficiency,5082,Leaching,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7291,Cropland phosphorus use efficiency,5082,Leaching,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7292,Cropland potassium use efficiency,5082,Leaching,2021,2021,,,,,
ESB,Cropland Nutrient Balance,IND,India,7275,Cropland nitrogen,5082,Leaching,2022,2022,t,2249547.7121,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7276,Cropland nitrogen per unit area,5082,Leaching,2022,2022,kg/ha,13.3718,E,Estimated value,
ESB,Cropland Nutrient Balance,IND,India,7280,Cropland phosphorus,5082,Leaching,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7281,Cropland phosphorus per unit area,5082,Leaching,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7282,Cropland potassium,5082,Leaching,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7283,Cropland potassium per unit area,5082,Leaching,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7290,Cropland nitrogen use efficiency,5082,Leaching,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7291,Cropland phosphorus use efficiency,5082,Leaching,2022,2022,,,,,
ESB,Cropland Nutrient Balance,IND,India,7292,Cropland potassium use efficiency,5082,Leaching,2022,2022,,,,,
